unique_image_id,showcase_index,rank,reference_path,retrieval_score,matches,inliers,inlier_ratio,forward_backward_consistency_px
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\124_62_TTSDZHIVHT_1_8_19_B_MBed_114.132182_22.282427_117.61_60.421978.png,45.714286,140,80,0.571429,0.812452
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748.png,3.200000,5,4,0.800000,0.000129
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\379_11_SKBKBPEAPE_1_11_20_C_Living_114.14895_22.280799_209.9949_29.870402.png,3.200000,5,4,0.800000,0.000031
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\203_11_SKBKBPEAPE_1_6_24_B_MBed_114.148949_22.2809_222.0286_29.797675.png,2.666667,6,4,0.666667,0.000004
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\229_11_SKBKBPEAPE_1_7_14_B_Bed_1_114.148967_22.280886_192.8657_29.797675.png,2.285714,7,4,0.571429,0.001446
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,5,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\134_11_SKBKBPEAPE_1_4_27_A_Bed_2_114.148876_22.280939_230.59_29.821748.png,1.777778,9,4,0.444444,0.000221
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\682_41_SKSWBPWJPS_1_26_11_C_Bed_3_114.14224_22.28426_98.8981_26.096132.png,90.206061,165,122,0.739394,0.384369
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\120_41_SKSWBPWJPS_1_5_9_A_Bed_3_114.142214_22.284343_93.7085_26.787469.png,71.215311,209,122,0.583732,1.111020
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\307_41_SKSWBPWJPS_1_11_28_D_LivingDining_114.142098_22.284331_146.15_26.061722.png,20.045455,88,42,0.477273,0.416646
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\168_41_SKSWBPWJPS_1_7_1_B_Bed_2_114.142148_22.284376_71.52_26.78793.png,3.681818,22,9,0.409091,2.581405
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,5,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\700_41_SKSWBPWJPS_1_28_1_C_LivingDining_114.142226_22.284267_71.06_26.096132.png,1.785714,14,5,0.357143,0.002654
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\125_27_SKPPWEPXPE_2_32_16_B_Living_114.146829_22.283221_125.5633_4.44512.png,770.773931,982,870,0.885947,0.425352
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\838_27_SKPPWEPXPE_5_95_23_B_Living_114.146827_22.283222_143.7132_4.44512.png,117.191283,413,220,0.532688,2.336663
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\884_27_SKPPWEPXPE_5_96_43_C_Living_114.146858_22.283222_191.4552_4.44512.png,10.843373,83,30,0.361446,0.159870
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_27_SKPPWEPXPE_1_12_11_D_Living_114.146959_22.283103_113.37_47.959628.png,6.000000,24,12,0.500000,18.667866
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1328_56_SSPPWYPXPS_1_26_14_G_Living_114.133475_22.285613_78.3517_14.049906.png,147.101871,481,266,0.553015,0.184047
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1325_56_SSPPWYPXPS_1_26_11_G_Living_114.133475_22.285613_69.74_14.049906.png,133.778061,392,229,0.584184,0.549271
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_56_SSPPWYPXPS_1_3_17_A_Bed_2_114.133626_22.285476_86.4165_151.72097.png,2.666667,6,4,0.666667,0.001558
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\100_56_SSPPWYPXPS_1_2_58_A_Bed_1_114.133656_22.285514_205.8096_59.74605.png,2.285714,7,4,0.571429,0.000261
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,5,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\111_56_SSPPWYPXPS_1_3_16_A_Bed_2_114.133626_22.285476_83.5121_151.72097.png,0.000000,6,0,0.000000,nan
showcase_14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403,14,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\323_73_TZHSTHMYHM_2_108_17_1_Kitchen_114.151702_22.278596_201.0533_116.042403.png,513.091216,888,675,0.760135,0.106098
showcase_14_322_73_TZHSTHMYHM_2_108_16_1_Kitchen_114.151702_22.278596_198.2771_116.042403,14,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\307_73_TZHSTHMYHM_2_107_23_1_Dining_114.151709_22.278586_218.1062_22.975402.png,0.000000,2,0,0.000000,nan
