sample_id,split,method,seed,mask_ratio,masked_psnr,masked_ssim,masked_lpips,masked_l1,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain,input_sharpness,output_sharpness,selected_from,guard_score
proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,train,B1_deterministic,20260829,0.072479248046875,21.802462919213745,0.5730346632242427,nan,13.558456420898438,0,0.0,11,0.007287862336722272,0.44211575388908386,0.3765554130077362,0.7114694714546204,0.1116485595703125,1.3109397888183594,1.4408276081085205,2.6202127933502197,4.06104040145874,,
proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,train,G_lite_stochastic_proxy,20260829,0.072479248046875,21.99144612938278,0.5858189070958061,nan,13.476140022277832,0,0.0,7,0.006651750951425219,0.40352627635002136,0.39777350425720215,1.5035841464996338,0.47592926025390625,0.7404384613037109,1.436673879623413,2.6202127933502197,4.056886672973633,,
proxy_010_112_44_SSPPWBPEPK_1_9_5_C_Bed_1_114.15254_22.280732_81.91_29.822021,train,B0_identity,20260830,0.0350189208984375,27.80693372677403,0.7439048196501369,nan,8.97124195098877,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
proxy_010_112_44_SSPPWBPEPK_1_9_5_C_Bed_1_114.15254_22.280732_81.91_29.822021,train,B1_deterministic,20260830,0.0350189208984375,27.80693372677403,0.7439048196501369,nan,8.97124195098877,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
proxy_010_112_44_SSPPWBPEPK_1_9_5_C_Bed_1_114.15254_22.280732_81.91_29.822021,train,G_lite_stochastic_proxy,20260830,0.0350189208984375,27.973706386816456,0.712460011343457,nan,8.704865455627441,0,0.0,2,0.0021030660489239576,0.18169398605823517,0.32932013273239136,1.2218844890594482,0.4601287841796875,1.766812801361084,1.5667086839675903,0.0,1.5667086839675903,,
proxy_011_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,train,B0_identity,20260831,0.02618408203125,11.572058368352938,-0.06590917402433838,nan,52.438812255859375,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.821874618530273,26.821874618530273,,
proxy_011_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,train,B1_deterministic,20260831,0.02618408203125,9.185520758061656,-0.033770436011681615,nan,72.29448699951172,0,0.0,40,0.03996657265225112,4.776528835296631,5.0945258140563965,16.645021438598633,1.2387313842773438,26.688203811645508,23.165796279907227,26.821874618530273,49.9876708984375,,
proxy_011_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,train,G_lite_stochastic_proxy,20260831,0.02618408203125,10.25811368711907,-0.04696173943590259,nan,62.536712646484375,0,0.0,22,0.022244855322260525,2.6585516929626465,2.781008243560791,9.207071304321289,0.3935495913028717,14.198561668395996,12.934453964233398,26.821874618530273,39.75632858276367,,
proxy_012_749_3_OSRJURUXRU_2_58_33_D_Kitchen_114.151031_22.279003_237.28_25.908724,val,B0_identity,20260832,0.03057861328125,25.70697079726302,0.9480906752061344,nan,4.511476993560791,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.401707887649536,2.401707887649536,,
proxy_012_749_3_OSRJURUXRU_2_58_33_D_Kitchen_114.151031_22.279003_237.28_25.908724,val,B1_deterministic,20260832,0.03057861328125,26.216529459855593,0.9560610394406559,nan,4.2125749588012695,0,0.0,11,0.004207853260299272,0.40505048632621765,0.303194135427475,1.521541953086853,0.0284423828125,2.1318485736846924,0.6229121685028076,2.401707887649536,3.0246200561523438,,
